category,quantity,consumption_rate,days_to_expiry,price_per_unit,stock_level,risk_label
Meat,16,17.86,1,60.73,16,High Risk
Bakery,98,20.03,28,85.15,98,Safe
Meat,147,10.91,24,431.12,147,Safe
Dairy,193,21.72,17,483.45,193,Safe
Meat,192,14.46,30,274.96,192,Safe
Meat,6,22.0,27,298.77,6,Safe
Vegetables,103,10.73,25,149.34,103,Safe
Vegetables,113,24.73,19,472.87,113,Safe
Meat,79,8.02,6,446.21,79,Moderate Risk
Seafood,141,13.14,5,276.52,141,Moderate Risk
Bakery,58,18.61,26,373.82,58,Safe
Bakery,165,9.75,20,179.84,165,Safe
Vegetables,151,4.87,4,466.02,151,High Risk
Bakery,27,11.93,22,33.01,27,Safe
Vegetables,24,7.13,5,70.69,24,Moderate Risk
Fruits,131,15.87,30,241.96,131,Safe
Seafood,83,14.59,24,489.22,83,Safe
Bakery,166,2.78,22,90.36,166,High Risk
Dairy,57,21.97,11,349.92,57,Safe
Meat,129,1.48,24,267.42,129,High Risk
Fruits,119,19.3,3,111.72,119,Moderate Risk
Bakery,27,4.5,23,188.16,27,Safe
Fruits,60,18.44,5,166.93,60,Moderate Risk
Vegetables,176,23.19,27,42.81,176,Safe
Meat,72,16.6,28,163.33,72,Safe
Seafood,37,19.6,1,206.51,37,High Risk
Fruits,181,16.46,1,17.58,181,High Risk
Bakery,178,21.39,20,255.7,178,Safe
Dairy,105,5.2,21,126.94,105,Moderate Risk
Bakery,164,7.15,27,353.48,164,Moderate Risk
Fruits,15,11.54,17,138.82,15,Safe
Vegetables,58,8.09,12,251.79,58,Safe
Dairy,38,16.13,9,126.97,38,Safe
Dairy,76,14.91,12,264.55,76,Safe
Bakery,48,23.46,4,440.27,48,Moderate Risk
Vegetables,73,1.59,21,459.55,73,Safe
Meat,86,1.5,1,39.42,86,High Risk
Fruits,98,23.0,27,360.36,98,Safe
Bakery,86,21.71,4,379.37,86,Moderate Risk
Seafood,57,18.59,17,23.54,57,Safe
Fruits,68,22.07,3,279.45,68,Moderate Risk
Fruits,149,2.38,17,103.91,149,High Risk
Bakery,10,19.04,10,325.09,10,Safe
Vegetables,197,8.49,30,310.32,197,Safe
Bakery,191,17.67,27,296.09,191,Safe
Dairy,18,14.7,15,57.5,18,Safe
Fruits,40,21.78,29,157.15,40,Safe
Meat,15,23.12,29,389.96,15,Safe
Seafood,32,18.81,29,469.36,32,Safe
Vegetables,186,24.56,11,351.82,186,Safe
Meat,45,7.44,10,303.65,45,Safe
Meat,18,11.35,7,12.59,18,Safe
Fruits,76,1.65,29,133.11,76,Safe
Fruits,176,16.09,2,260.91,176,High Risk
Bakery,154,14.39,3,65.62,154,Moderate Risk
Fruits,146,16.44,9,395.23,146,Safe
Bakery,165,18.1,14,334.87,165,Safe
Fruits,84,19.85,4,297.66,84,Moderate Risk
Vegetables,193,13.79,4,78.1,193,Moderate Risk
Fruits,121,13.91,27,281.52,121,Safe
Vegetables,81,22.11,16,200.95,81,Safe
Vegetables,141,11.65,29,335.4,141,Safe
Meat,40,19.5,29,445.16,40,Safe
Bakery,171,15.75,17,484.95,171,Safe
Dairy,52,17.13,29,315.95,52,Safe
Meat,20,2.13,18,309.41,20,Safe
Seafood,146,17.37,21,255.91,146,Safe
Vegetables,92,12.78,14,268.21,92,Safe
Fruits,8,1.82,1,328.76,8,High Risk
Meat,193,12.15,16,294.28,193,Safe
Bakery,112,2.98,29,384.5,112,Moderate Risk
Dairy,158,2.71,23,468.65,158,High Risk
Dairy,179,15.91,28,182.29,179,Safe
Meat,141,19.36,7,409.94,141,Safe
Bakery,78,8.42,12,209.04,78,Safe
Bakery,46,7.5,14,128.69,46,Safe
Vegetables,145,11.76,20,292.75,145,Safe
Meat,36,10.16,28,77.88,36,Safe
Meat,96,11.99,4,125.16,96,Moderate Risk
Fruits,134,24.57,23,253.1,134,Safe
Seafood,19,10.9,13,313.99,19,Safe
Seafood,177,9.41,24,80.57,177,Safe
Seafood,96,21.0,20,328.55,96,Safe
Seafood,184,13.81,25,240.4,184,Safe
Vegetables,93,18.48,13,110.62,93,Safe
Vegetables,184,8.87,26,252.69,184,Safe
Seafood,87,22.7,12,282.29,87,Safe
Seafood,141,1.19,22,172.04,141,High Risk
Seafood,75,3.24,30,147.34,75,Safe
Bakery,71,21.46,5,154.22,71,Moderate Risk
Vegetables,48,7.85,18,468.0,48,Safe
Seafood,172,12.53,3,169.69,172,Moderate Risk
Seafood,79,23.23,24,394.97,79,Safe
Fruits,33,4.88,7,437.29,33,Safe
Dairy,107,3.17,29,464.11,107,Moderate Risk
Bakery,53,19.62,28,455.24,53,Safe
Vegetables,77,15.92,7,370.01,77,Safe
Fruits,49,22.69,23,270.55,49,Safe
Bakery,105,3.72,5,178.57,105,Moderate Risk
Fruits,119,1.24,6,212.1,119,Moderate Risk
Bakery,116,2.48,11,325.31,116,Moderate Risk
Fruits,105,23.96,17,130.35,105,Safe
Fruits,21,21.0,22,467.01,21,Safe
Seafood,47,9.27,28,263.6,47,Safe
Fruits,43,21.81,9,443.31,43,Safe
Vegetables,78,4.76,25,436.54,78,Safe
Vegetables,56,18.85,12,498.52,56,Safe
Vegetables,89,5.84,2,376.53,89,High Risk
Meat,135,5.4,29,385.17,135,Moderate Risk
Vegetables,159,2.08,22,98.68,159,High Risk
Vegetables,148,16.46,3,340.41,148,Moderate Risk
Meat,189,6.57,23,410.79,189,Moderate Risk
Meat,96,21.96,6,376.51,96,Moderate Risk
Fruits,7,9.04,3,277.71,7,Moderate Risk
Bakery,45,4.6,14,288.89,45,Safe
Vegetables,143,9.22,27,194.38,143,Safe
Vegetables,130,20.5,14,393.8,130,Safe
Dairy,126,24.31,16,88.33,126,Safe
Dairy,148,20.76,13,32.62,148,Safe
Bakery,92,3.95,17,297.88,92,Moderate Risk
Seafood,172,5.67,29,476.98,172,Moderate Risk
Dairy,200,1.8,1,25.43,200,High Risk
Meat,15,23.44,20,354.3,15,Safe
Vegetables,72,8.02,20,355.58,72,Safe
Bakery,159,19.28,15,102.39,159,Safe
Vegetables,88,21.06,24,253.69,88,Safe
Meat,24,22.75,19,224.82,24,Safe
Fruits,105,5.26,14,276.06,105,Moderate Risk
Seafood,27,23.03,26,324.16,27,Safe
Fruits,54,20.64,12,13.05,54,Safe
Bakery,121,1.26,29,379.96,121,High Risk
Bakery,177,7.54,21,211.15,177,Moderate Risk
Seafood,17,24.77,15,411.96,17,Safe
Seafood,165,14.86,22,135.07,165,Safe
Seafood,198,7.04,18,221.75,198,Moderate Risk
Vegetables,151,10.39,4,290.37,151,Moderate Risk
Seafood,36,21.52,15,78.57,36,Safe
Vegetables,127,2.7,29,36.7,127,High Risk
Bakery,143,9.38,25,336.65,143,Safe
Meat,121,4.55,28,246.41,121,High Risk
Fruits,68,21.45,12,479.71,68,Safe
Fruits,41,6.9,30,428.84,41,Safe
Meat,49,5.31,15,321.05,49,Safe
Fruits,92,5.41,19,150.6,92,Moderate Risk
Dairy,123,1.36,10,245.85,123,High Risk
Dairy,76,13.84,12,191.1,76,Safe
Meat,93,10.63,30,472.19,93,Safe
Dairy,117,10.02,3,293.65,117,Moderate Risk
Seafood,147,1.23,23,316.88,147,High Risk
Fruits,71,22.93,17,175.77,71,Safe
Dairy,25,14.34,9,117.23,25,Safe
Meat,131,16.09,6,108.74,131,Moderate Risk
Fruits,56,4.65,22,349.68,56,Safe
Bakery,5,14.85,13,498.32,5,Safe
Seafood,127,18.91,13,308.59,127,Safe
Fruits,102,3.08,3,204.45,102,Moderate Risk
Fruits,36,10.24,30,318.45,36,Safe
Vegetables,43,20.8,23,312.06,43,Safe
Bakery,60,22.45,8,343.65,60,Safe
Seafood,128,10.86,6,136.62,128,Moderate Risk
Fruits,167,20.01,20,152.78,167,Safe
Vegetables,138,8.6,23,462.76,138,Safe
Fruits,161,21.79,29,254.34,161,Safe
Bakery,25,24.95,17,409.92,25,Safe
Fruits,161,20.7,8,477.98,161,Safe
Dairy,160,24.59,3,159.0,160,Moderate Risk
Meat,200,24.51,20,372.26,200,Safe
Vegetables,166,8.74,19,444.62,166,Safe
Dairy,172,20.36,17,322.25,172,Safe
Fruits,45,14.12,8,370.63,45,Safe
Vegetables,51,6.13,24,199.76,51,Safe
Bakery,116,8.58,30,109.86,116,Safe
Bakery,114,20.89,14,477.58,114,Safe
Dairy,22,15.27,21,227.12,22,Safe
Fruits,101,15.72,27,195.37,101,Safe
Fruits,133,10.76,11,499.93,133,Safe
Seafood,173,10.46,14,432.4,173,Safe
Dairy,140,17.13,11,361.11,140,Safe
Vegetables,70,4.96,26,182.92,70,Safe
Bakery,87,23.93,11,60.3,87,Safe
Meat,101,3.59,27,114.69,101,Moderate Risk
Seafood,49,21.24,9,391.67,49,Safe
Meat,8,22.86,10,13.23,8,Safe
Vegetables,96,10.46,15,21.34,96,Safe
Meat,168,9.9,21,331.26,168,Safe
Dairy,178,10.24,5,29.54,178,Moderate Risk
Bakery,62,7.77,9,166.66,62,Safe
Bakery,162,9.74,12,218.9,162,Safe
Meat,93,3.19,14,112.21,93,Moderate Risk
Vegetables,58,9.75,13,114.0,58,Safe
Fruits,150,6.42,6,358.75,150,Moderate Risk
Seafood,142,10.91,1,81.07,142,High Risk
Vegetables,17,10.34,14,172.58,17,Safe
Vegetables,125,13.55,19,484.57,125,Safe
Meat,141,9.48,5,286.41,141,Moderate Risk
Dairy,121,19.81,9,130.95,121,Safe
Meat,63,20.92,6,346.94,63,Moderate Risk
Vegetables,13,10.04,27,403.56,13,Safe
Fruits,25,23.91,11,301.42,25,Safe
Seafood,27,4.92,12,280.11,27,Safe
Meat,164,4.66,27,330.59,164,High Risk
Meat,14,19.65,14,17.41,14,Safe
Fruits,65,13.89,5,120.74,65,Moderate Risk
Fruits,21,17.47,22,390.81,21,Safe
Vegetables,37,3.21,4,162.11,37,Moderate Risk
Seafood,91,12.14,15,186.88,91,Safe
Dairy,77,23.37,2,49.61,77,High Risk
Meat,133,21.86,13,56.43,133,Safe
Meat,25,10.89,25,498.71,25,Safe
Bakery,107,24.65,24,191.89,107,Safe
Seafood,107,3.6,15,398.64,107,Moderate Risk
Vegetables,73,5.13,20,68.97,73,Safe
Seafood,106,18.1,12,134.63,106,Safe
Seafood,115,11.48,24,474.41,115,Safe
Vegetables,52,24.22,16,46.33,52,Safe
Seafood,110,19.89,23,151.95,110,Safe
Vegetables,84,16.98,6,444.29,84,Moderate Risk
Dairy,117,24.41,20,223.81,117,Safe
Fruits,33,13.21,8,187.56,33,Safe
Meat,186,23.89,4,378.34,186,Moderate Risk
Seafood,102,5.86,13,408.56,102,Moderate Risk
Fruits,79,23.24,19,236.45,79,Safe
Meat,120,13.2,7,160.39,120,Safe
Seafood,14,15.58,23,97.52,14,Safe
Fruits,132,1.37,11,218.37,132,High Risk
Bakery,193,7.17,15,489.97,193,Moderate Risk
Fruits,36,4.33,14,356.23,36,Safe
Dairy,100,3.02,29,243.83,100,Moderate Risk
Seafood,139,2.94,3,319.35,139,High Risk
Bakery,78,21.29,3,382.83,78,Moderate Risk
Fruits,69,5.0,10,230.58,69,Safe
Dairy,192,22.17,29,268.34,192,Safe
Bakery,198,14.06,20,254.19,198,Safe
Vegetables,44,11.77,28,42.04,44,Safe
Bakery,117,18.76,3,274.09,117,Moderate Risk
Fruits,8,17.03,1,13.96,8,High Risk
Seafood,127,13.57,17,100.5,127,Safe
Seafood,196,22.29,13,170.39,196,Safe
Fruits,72,9.73,8,476.63,72,Safe
Dairy,22,13.74,22,167.94,22,Safe
Dairy,140,8.05,28,376.64,140,Safe
Fruits,169,14.65,13,473.07,169,Safe
Meat,9,21.28,25,159.6,9,Safe
Vegetables,51,11.86,14,475.93,51,Safe
Bakery,153,8.46,13,473.48,153,Safe
Meat,111,15.83,22,356.0,111,Safe
Bakery,130,1.63,27,32.56,130,High Risk
Dairy,189,18.76,1,148.92,189,High Risk
Meat,165,1.55,28,408.84,165,High Risk
Fruits,174,7.03,27,253.94,174,Moderate Risk
Bakery,129,21.01,25,417.96,129,Safe
Fruits,51,20.13,14,306.65,51,Safe
Vegetables,172,20.79,29,484.41,172,Safe
Vegetables,174,24.04,20,220.08,174,Safe
Bakery,168,16.11,18,100.67,168,Safe
Vegetables,90,13.86,14,147.75,90,Safe
Meat,58,18.02,22,457.4,58,Safe
Bakery,142,11.21,3,425.9,142,Moderate Risk
Meat,61,11.06,5,283.57,61,Moderate Risk
Dairy,166,10.15,21,284.01,166,Safe
Dairy,159,20.35,17,57.12,159,Safe
Bakery,74,20.22,15,178.79,74,Safe
Meat,160,1.89,21,25.22,160,High Risk
Meat,187,11.86,2,166.49,187,High Risk
Fruits,6,24.99,12,358.93,6,Safe
Seafood,121,3.53,11,376.64,121,High Risk
Fruits,111,20.67,3,54.59,111,Moderate Risk
Vegetables,102,6.62,29,221.58,102,Moderate Risk
Meat,73,2.32,13,219.34,73,Safe
Seafood,10,14.31,26,314.05,10,Safe
Vegetables,65,12.08,10,138.02,65,Safe
Vegetables,200,20.24,21,474.09,200,Safe
Meat,39,4.6,2,317.02,39,High Risk
Bakery,50,5.26,19,457.54,50,Safe
Dairy,148,15.64,13,50.12,148,Safe
Meat,54,16.43,16,219.36,54,Safe
Meat,187,18.5,9,355.0,187,Safe
Dairy,75,24.82,3,63.54,75,Moderate Risk
Bakery,180,8.43,6,435.68,180,Moderate Risk
Vegetables,139,7.25,8,481.09,139,Moderate Risk
Bakery,148,19.11,13,339.62,148,Safe
Bakery,160,2.84,13,118.93,160,High Risk
Fruits,70,5.51,14,97.07,70,Safe
Seafood,93,23.46,22,403.19,93,Safe
Bakery,138,6.06,16,162.44,138,Moderate Risk
Seafood,99,12.89,17,172.4,99,Safe
Bakery,162,18.04,16,111.81,162,Safe
Fruits,161,9.92,15,114.09,161,Safe
Vegetables,152,1.46,6,80.53,152,High Risk
Vegetables,123,22.17,27,443.3,123,Safe
Fruits,55,24.04,22,473.22,55,Safe
Meat,161,20.44,28,356.55,161,Safe
Vegetables,174,1.54,4,473.18,174,High Risk
Dairy,89,18.52,2,493.35,89,High Risk
Dairy,22,21.25,23,365.01,22,Safe
Bakery,11,20.94,9,324.42,11,Safe
Seafood,140,23.06,28,212.03,140,Safe
Vegetables,114,14.33,22,249.28,114,Safe
Meat,96,10.38,30,94.9,96,Safe
Seafood,192,7.8,1,420.63,192,High Risk
Meat,54,1.61,8,432.43,54,Safe
Meat,56,6.11,19,59.36,56,Safe
Vegetables,108,18.92,14,187.92,108,Safe
Vegetables,5,5.73,7,345.82,5,Safe
Meat,34,6.58,21,65.66,34,Safe
Meat,83,2.79,23,151.45,83,Moderate Risk
Meat,175,13.75,18,298.41,175,Safe
Bakery,23,20.74,6,190.23,23,Moderate Risk
Meat,119,2.5,8,111.22,119,Moderate Risk
Fruits,150,9.59,9,115.79,150,Safe
Vegetables,18,10.83,3,488.05,18,Moderate Risk
Bakery,90,7.59,2,266.45,90,High Risk
Fruits,95,4.6,3,45.68,95,Moderate Risk
Dairy,179,12.27,4,266.09,179,Moderate Risk
Dairy,26,17.16,9,247.47,26,Safe
Meat,96,15.02,17,267.74,96,Safe
Dairy,13,22.82,25,82.67,13,Safe
Seafood,7,22.67,25,260.56,7,Safe
Meat,127,23.88,12,177.07,127,Safe
Fruits,55,11.16,1,244.74,55,High Risk
Vegetables,64,3.23,19,147.47,64,Safe
Fruits,79,2.5,27,19.0,79,Safe
Meat,130,12.83,27,211.43,130,Safe
Vegetables,75,12.84,13,480.81,75,Safe
Fruits,195,20.1,11,147.95,195,Safe
Bakery,112,4.24,1,232.87,112,High Risk
Dairy,11,7.72,2,228.09,11,High Risk
Bakery,184,3.44,23,70.22,184,High Risk
Seafood,5,11.29,15,57.15,5,Safe
Dairy,114,3.82,28,228.32,114,Moderate Risk
Bakery,107,14.1,19,25.08,107,Safe
Fruits,48,23.73,6,154.33,48,Moderate Risk
Dairy,17,21.4,25,225.71,17,Safe
Dairy,23,23.32,14,423.7,23,Safe
Fruits,155,20.95,28,241.66,155,Safe
Bakery,179,5.0,24,349.24,179,Moderate Risk
Bakery,193,9.72,11,277.95,193,Safe
Dairy,74,3.44,25,94.94,74,Safe
Bakery,164,17.72,18,216.05,164,Safe
Vegetables,141,4.88,28,404.77,141,High Risk
Fruits,178,9.8,4,474.6,178,Moderate Risk
Fruits,170,1.61,7,319.43,170,High Risk
Dairy,35,18.5,25,349.23,35,Safe
Meat,166,16.33,12,257.05,166,Safe
Dairy,11,22.95,28,418.95,11,Safe
Bakery,166,9.91,13,196.32,166,Safe
Bakery,49,1.47,16,44.12,49,Safe
Bakery,137,18.64,2,34.36,137,High Risk
Vegetables,54,13.38,30,447.99,54,Safe
Bakery,43,1.39,6,382.54,43,Moderate Risk
Meat,54,4.66,19,392.16,54,Safe
Meat,193,2.51,9,13.04,193,High Risk
Fruits,161,20.23,9,460.35,161,Safe
Vegetables,128,1.77,24,451.97,128,High Risk
Fruits,125,5.15,17,423.72,125,Moderate Risk
Vegetables,26,17.53,16,488.97,26,Safe
Meat,147,11.82,28,281.13,147,Safe
Meat,185,10.47,8,223.02,185,Safe
Vegetables,104,10.52,29,148.67,104,Safe
Vegetables,114,7.01,9,204.86,114,Moderate Risk
Vegetables,153,2.24,8,457.19,153,High Risk
Fruits,32,8.94,1,420.32,32,High Risk
Seafood,72,1.83,22,341.72,72,Safe
Vegetables,120,18.4,4,481.63,120,Moderate Risk
Bakery,84,15.52,3,341.3,84,Moderate Risk
Dairy,128,8.03,25,397.1,128,Safe
Seafood,127,18.67,18,367.5,127,Safe
Vegetables,144,8.51,9,101.98,144,Safe
Bakery,15,20.79,6,416.61,15,Moderate Risk
Fruits,72,17.96,23,460.36,72,Safe
Vegetables,20,12.84,20,135.98,20,Safe
Bakery,76,2.13,6,217.5,76,Moderate Risk
Dairy,188,1.89,29,82.62,188,High Risk
Seafood,23,16.93,9,366.15,23,Safe
Seafood,33,14.4,8,390.85,33,Safe
Vegetables,117,3.07,3,262.78,117,Moderate Risk
Meat,93,23.89,15,261.37,93,Safe
Fruits,56,11.05,17,355.66,56,Safe
Meat,140,22.11,26,390.38,140,Safe
Meat,81,12.0,19,474.38,81,Safe
Vegetables,22,4.14,22,359.09,22,Safe
Vegetables,49,4.31,29,153.56,49,Safe
Bakery,24,3.12,29,191.91,24,Safe
Vegetables,122,14.88,4,458.51,122,Moderate Risk
Vegetables,179,4.38,14,166.45,179,High Risk
Meat,13,14.44,23,145.05,13,Safe
Vegetables,147,15.02,21,372.37,147,Safe
Dairy,199,22.21,22,229.7,199,Safe
Fruits,186,12.99,13,309.5,186,Safe
Meat,58,12.88,18,201.15,58,Safe
Bakery,148,23.82,26,375.45,148,Safe
Bakery,24,6.97,10,39.79,24,Safe
Bakery,103,23.48,25,490.84,103,Safe
Seafood,22,7.71,2,249.79,22,High Risk
Meat,178,11.59,17,110.43,178,Safe
Meat,77,24.28,14,313.85,77,Safe
Bakery,128,14.47,27,233.15,128,Safe
Seafood,60,9.77,9,331.16,60,Safe
Bakery,31,8.61,18,271.81,31,Safe
Seafood,196,15.93,19,484.64,196,Safe
Fruits,122,1.72,16,31.94,122,High Risk
Bakery,137,8.27,13,208.01,137,Safe
Meat,74,8.46,9,40.88,74,Safe
Bakery,19,20.05,22,418.4,19,Safe
Dairy,175,5.36,27,479.32,175,Moderate Risk
Seafood,102,3.9,6,455.96,102,Moderate Risk
Meat,5,3.99,28,96.21,5,Safe
Seafood,79,17.37,3,242.35,79,Moderate Risk
Seafood,164,8.74,9,413.89,164,Safe
Meat,21,7.82,2,146.77,21,High Risk
Fruits,172,15.56,29,50.68,172,Safe
Fruits,161,7.27,24,257.61,161,Moderate Risk
Meat,193,19.46,17,221.28,193,Safe
Fruits,179,9.48,15,244.58,179,Safe
Vegetables,23,20.45,4,159.93,23,Moderate Risk
Bakery,14,8.15,10,327.23,14,Safe
Seafood,123,23.27,21,452.27,123,Safe
Vegetables,107,16.41,3,279.91,107,Moderate Risk
Vegetables,171,8.99,25,143.0,171,Safe
Meat,169,6.24,26,105.86,169,Moderate Risk
Meat,17,18.76,16,56.96,17,Safe
Dairy,108,23.94,7,169.25,108,Safe
Seafood,78,22.87,16,91.84,78,Safe
Vegetables,175,19.82,11,162.5,175,Safe
Dairy,123,6.89,9,61.42,123,Moderate Risk
Dairy,152,2.31,5,374.27,152,High Risk
Vegetables,162,12.51,2,495.03,162,High Risk
Fruits,18,16.45,2,35.32,18,High Risk
Bakery,104,8.69,13,469.53,104,Safe
Seafood,198,12.05,16,476.43,198,Safe
Seafood,174,12.11,11,218.19,174,Safe
Fruits,98,10.83,24,290.07,98,Safe
Meat,40,11.08,21,312.92,40,Safe
Vegetables,144,18.24,27,438.25,144,Safe
Fruits,54,10.01,17,203.71,54,Safe
Meat,31,12.57,1,243.49,31,High Risk
Bakery,165,18.67,22,216.06,165,Safe
Vegetables,70,16.86,16,201.65,70,Safe
Seafood,67,5.81,12,224.44,67,Safe
Vegetables,143,2.68,9,468.99,143,High Risk
Vegetables,90,2.21,5,320.77,90,Moderate Risk
Dairy,68,15.68,26,91.04,68,Safe
Fruits,188,21.97,9,480.01,188,Safe
Vegetables,74,1.45,30,147.52,74,Safe
Seafood,121,24.35,11,354.64,121,Safe
Dairy,166,24.31,27,483.17,166,Safe
Seafood,123,24.14,7,440.56,123,Safe
Dairy,31,23.04,5,64.84,31,Moderate Risk
Dairy,64,24.55,12,331.61,64,Safe
Vegetables,154,8.15,10,99.98,154,Safe
Dairy,114,15.33,13,459.73,114,Safe
Vegetables,180,5.34,9,86.47,180,Moderate Risk
Dairy,43,17.84,4,471.96,43,Moderate Risk
Meat,141,23.64,14,361.62,141,Safe
Seafood,54,6.27,1,200.72,54,High Risk
Bakery,150,16.44,7,338.77,150,Safe
Meat,126,7.71,14,252.13,126,Moderate Risk
Fruits,39,6.61,12,444.88,39,Safe
Seafood,93,20.6,2,456.47,93,High Risk
Meat,156,16.83,16,58.08,156,Safe
Vegetables,61,5.5,15,349.78,61,Safe
Dairy,126,23.14,22,406.65,126,Safe
Dairy,119,20.63,6,204.12,119,Moderate Risk
Bakery,90,8.52,1,275.0,90,High Risk
Vegetables,36,17.59,8,344.78,36,Safe
Fruits,193,2.49,7,493.64,193,High Risk
Seafood,81,17.32,9,488.52,81,Safe
Vegetables,177,7.89,20,221.78,177,Moderate Risk
Bakery,67,7.63,6,149.61,67,Moderate Risk
Bakery,64,10.29,21,134.81,64,Safe
Meat,180,24.03,27,424.68,180,Safe
Seafood,24,3.89,23,358.56,24,Safe
Bakery,164,8.64,27,298.75,164,Safe
Fruits,125,14.1,21,360.96,125,Safe
Vegetables,59,11.5,8,265.18,59,Safe
Bakery,54,7.4,8,489.63,54,Safe
Dairy,51,14.42,4,300.67,51,Moderate Risk
Bakery,108,22.85,19,381.55,108,Safe
Vegetables,131,14.88,16,213.97,131,Safe
Dairy,186,22.06,9,446.33,186,Safe
Dairy,183,14.21,1,471.26,183,High Risk
Bakery,124,24.51,10,383.3,124,Safe
Dairy,10,9.7,15,219.14,10,Safe
Vegetables,116,8.76,20,292.14,116,Safe
Meat,56,15.57,18,224.64,56,Safe
Vegetables,183,14.2,4,50.64,183,Moderate Risk
Meat,21,19.04,9,362.91,21,Safe
Vegetables,197,10.9,17,353.79,197,Safe
Vegetables,104,10.83,28,382.59,104,Safe
Bakery,51,2.09,10,308.14,51,Safe
Seafood,110,19.91,21,86.43,110,Safe
Dairy,172,16.01,17,255.42,172,Safe
Dairy,32,15.22,25,133.83,32,Safe
Meat,44,11.93,5,328.36,44,Moderate Risk
Dairy,176,12.17,23,169.43,176,Safe
Meat,152,2.34,26,272.78,152,High Risk
Dairy,104,17.39,18,483.0,104,Safe
Dairy,116,7.96,21,405.12,116,Moderate Risk
Bakery,68,14.13,14,50.39,68,Safe
Fruits,171,11.83,7,282.99,171,Safe
Dairy,141,17.22,2,194.81,141,High Risk
Fruits,171,6.69,22,51.21,171,Moderate Risk
Fruits,127,11.63,30,277.68,127,Safe
Meat,107,8.44,15,338.2,107,Safe
Dairy,150,17.51,5,325.33,150,Moderate Risk
Bakery,199,11.54,29,308.51,199,Safe
Bakery,134,3.35,5,236.0,134,High Risk
Fruits,173,18.14,23,15.23,173,Safe
Dairy,93,14.09,2,391.68,93,High Risk
Bakery,164,18.74,30,302.86,164,Safe
Dairy,172,13.2,1,375.28,172,High Risk
Seafood,181,17.75,27,150.23,181,Safe
Meat,66,15.81,5,443.89,66,Moderate Risk
Bakery,49,17.77,7,14.34,49,Safe
Bakery,38,21.35,16,403.04,38,Safe
Dairy,14,16.14,22,89.57,14,Safe
Vegetables,97,4.13,18,84.77,97,Moderate Risk
Dairy,168,8.4,22,420.83,168,Safe
Meat,26,7.76,2,142.01,26,High Risk
Meat,192,13.63,1,210.74,192,High Risk
Bakery,76,22.78,7,62.49,76,Safe
Seafood,159,11.95,17,142.72,159,Safe
Fruits,18,4.42,25,320.0,18,Safe
Vegetables,179,2.94,8,275.11,179,High Risk
Fruits,47,22.17,10,151.64,47,Safe
Meat,64,5.99,2,155.6,64,High Risk
Vegetables,95,19.82,6,461.89,95,Moderate Risk
Bakery,181,2.79,21,351.41,181,High Risk
Fruits,123,17.41,6,118.43,123,Moderate Risk
Meat,68,10.37,25,299.48,68,Safe
Vegetables,12,3.07,27,113.01,12,Safe
Seafood,53,6.01,3,390.43,53,Moderate Risk
Meat,49,16.8,15,429.78,49,Safe
Bakery,53,15.09,4,344.57,53,Moderate Risk
Fruits,155,15.59,14,185.07,155,Safe
Seafood,96,11.83,22,99.98,96,Safe
Bakery,166,16.99,20,108.6,166,Safe
Seafood,20,20.63,8,329.28,20,Safe
Meat,175,18.63,27,278.03,175,Safe
Meat,198,19.23,3,29.84,198,Moderate Risk
Bakery,48,1.69,19,307.96,48,Safe
Fruits,9,7.16,2,216.19,9,High Risk
Vegetables,170,12.23,16,98.41,170,Safe
Dairy,126,8.8,20,498.67,126,Safe
Vegetables,111,23.97,28,74.74,111,Safe
Seafood,99,15.04,10,299.1,99,Safe
Dairy,161,22.37,10,147.93,161,Safe
Meat,36,15.78,25,331.62,36,Safe
Seafood,132,11.33,28,168.37,132,Safe
Dairy,22,4.02,23,330.0,22,Safe
Seafood,73,24.69,27,169.51,73,Safe
Dairy,77,17.89,26,106.89,77,Safe
Meat,46,9.21,19,211.91,46,Safe
Dairy,159,4.42,9,93.23,159,High Risk
Dairy,22,12.57,9,402.17,22,Safe
Seafood,127,16.61,24,441.46,127,Safe
Bakery,6,15.85,13,39.31,6,Safe
Fruits,45,19.92,28,497.3,45,Safe
Vegetables,85,2.15,6,79.29,85,Moderate Risk
Dairy,33,18.75,3,328.83,33,Moderate Risk
Dairy,72,22.85,9,368.07,72,Safe
Bakery,75,22.58,2,172.53,75,High Risk
Bakery,25,1.03,7,495.92,25,Safe
Bakery,25,2.73,22,93.98,25,Safe
Vegetables,63,22.54,3,319.26,63,Moderate Risk
Meat,20,9.07,9,270.6,20,Safe
Fruits,152,11.22,22,324.2,152,Safe
Seafood,80,15.19,26,120.69,80,Safe
Fruits,19,1.17,2,411.54,19,High Risk
Dairy,51,9.57,26,35.1,51,Safe
Dairy,120,14.89,22,347.86,120,Safe
Bakery,81,11.01,25,196.81,81,Safe
Bakery,111,2.82,24,294.75,111,Moderate Risk
Dairy,94,9.47,12,382.08,94,Safe
Meat,86,16.19,1,176.31,86,High Risk
Fruits,56,4.74,12,321.49,56,Safe
Bakery,190,12.8,25,484.28,190,Safe
Seafood,56,9.18,28,480.6,56,Safe
Fruits,79,10.85,7,31.1,79,Safe
Vegetables,54,17.25,11,33.08,54,Safe
Fruits,188,7.78,1,262.81,188,High Risk
Seafood,88,15.61,16,355.39,88,Safe
Meat,147,1.38,1,186.8,147,High Risk
